track_id,track_pos,artists,track_name,writers,track_votes
1971_4,5,Adriano Celentano-Coro Alpino Milanese,Sotto le lenzuola,L. Beretta- M. Del Prete-A. Celentano,115
1971_5,6,Domenico Modugno-Carmen Villani,Come stai?,R. Pazzaglia-D. Modugno,95
1971_6,7,Don Backy-Gianni Nazzaro,Bianchi cristalli sereni,A. Caponi,76
1971_7,8,Al Bano-Aguaviva,"13, storia d'oggi",V. Pallavicini-A. Carrisi,69
1971_8,9,Gigliola Cinquetti-Ray Conniff,Rose nel buio,L. Pilat- M. Panzeri-D. Pace,58
1971_9,10,Caterina Caselli-Dik Dik,Ninna nanna (Cuore mio),L. Albertelli-E. Riccardi,56
1972_0,1,Nicola Di Bari,I giorni dell'arcobaleno,M. Scommegna- D. Masini- P. Pintucci,343
1972_1,2,Peppino Gagliardi,Come le viole,P. Gagliardi-G. Amendola,168
1972_2,3,Nada,Il re di denari,C. Mattone-F. Migliacci,141
1972_3,4,Gianni Morandi,Vado a lavorare,F. Migliacci- Petaluma- M. Marrocchi-V. Tariciotti,139
1972_4,5,Gianni Nazzaro,Non voglio innamorarmi mai,M. Signorini-G. Bigazzi,114
1972_5,6,Delirium,Jesahel,O. Prudente-I. Fossati,105
1972_6,7,Marcella Bella,Montagne verdi,G. Bigazzi-G. Bella,84
1972_7,8,Lucio Dalla,Piazza Grande,L. Dalla- R. Cellamare- G. Baldazzi-S. Bardotti,68
1972_8,9,Gigliola Cinquetti,Gira l'amore (Caro bebè),M. Panzeri-D. Pace,67
1972_9,10,Donatello,Ti voglio,R. Sanna-D.L. Pieretti,63
1973_0,1,Peppino Di Capri,Un grande amore e niente più,F. Califano- G. Wright- G. Faiella- C. Mattone,1.710
1973_1,2,Peppino Gagliardi,Come un ragazzino,G. Amendola- P. Gagliardi,1.482
1973_2,3,Milva,Da troppo tempo,L. Albertelli- G. Colonnello,1.463
1973_3,4,Ricchi e Poveri,Dolce frutto,C. Minellono-U. Balsamo,1.430
1973_4,5,Gilda Giuliani,Serena,V. Pallavicini-G. Mescoli,1.413
1973_5,6,Wess-Dori Ghezzi,Tu nella mia vita,Lubiak- F. Monti Arduini,1.295
1973_6,7,Roberto Vecchioni,L'uomo che si gioca il cielo a dadi,R. Vecchioni,1.246
1973_7,8,Fausto Leali,La bandiera di sole,V. Pallavicini-F. Leali,1.226
1973_8,9,Umberto Balsamo,Amore mio,C. Minellono- U. Balsamo,1.224
1973_9,10,Anna Identici,Mi son chiesta tante volte,P. P. Preti-G. Guarneri,1.197
1974_0,1,Iva Zanicchi,"Ciao cara, come stai?",C. Malgioglio- C. Daiano- Dinaro-I. Ianne,36
1974_1,2,Domenico Modugno,Questa è la mia vita,L. Beretta- D. Modugno-E. Suligoj,27
1974_2,3,Orietta Berti,Occhi rossi,D. Pace- C. Conti- L. Pilat-M. Panzeri,21
1975_0,1,Gilda,Ragazza del sud,R. Scalabrino,24
1975_3,4,Valentina Greco,Un grande addio,G. Puzzo- B. Moglia- P. Limiti- E. Capotosti-M. C. Lacamera,13
1975_4,5,Laura,E poi e poi,N. La Mantia,10
1975_5,6,Franco-le Piccole Donne,Come Humphrey Bogart,L. Raggi-B. Pallini,7
1976_0,1,Peppino di Capri,Non lo faccio più,Depsa- S. Iodice-F. Berlincioni,46
1976_1,2,Wess-Dori Ghezzi,"Come stai, con chi sei",C. Minellono- F. Piccarreda-U. Balsamo,40
1976_4,5,Paolo Frescura,Due anelli,A. De Sanctis-P. Frescura,30
