Writer,Songs
M. Marati,[{'name': 'Strani amori', 'pos': 3}, {'name': 'Gente come noi', 'pos': 3}, {'name': 'Sentimento', 'pos': 7}, {'name': 'Storie', 'pos': 2}, {'name': 'Valeria', 'pos': 8}]
G. Pio,[{'name': 'Per Elisa', 'pos': 1}]
F. Ciccotti,[{'name': 'Universo', 'pos': 3}]
A. Ravasio,[{'name': 'Come stai', 'pos': 7}]
G. F. Reverberi,[{'name': 'La prima cosa bella', 'pos': 2}]
C. Gigli,[{'name': 'Più forte', 'pos': 7}]
Donida,[{'name': 'Al di là', 'pos': 1}, {'name': 'La spada nel cuore', 'pos': 5}]
L. Valente,[{'name': 'Piccoli giganti', 'pos': 6}, {'name': 'Dedicato a te', 'pos': 4}]
N. Brunialti,[{'name': 'Abbi cura di me', 'pos': 5}]
L. Raggi,[{'name': 'Come Humphrey Bogart', 'pos': 6}, {'name': 'Futuro', 'pos': 6}]
A. Drusian,[{'name': 'Fiumi di parole', 'pos': 1}]
Francesco Silvestre,[{'name': 'Se si potesse non morire', 'pos': 3}]
D. Ceruti,[{'name': 'Guasto', 'pos': 4}]
R. Pradella,[{'name': 'Da bambino', 'pos': 7}]
Luca Madonia,[{'name': "L'alieno", 'pos': 5}]
D.L. Pieretti,[{'name': 'Ti voglio', 'pos': 10}]
S. Iodice,[{'name': 'Non lo faccio più', 'pos': 1}, {'name': 'Cantare', 'pos': 8}]
P. Massara,[{'name': 'Deborah', 'pos': 4}, {'name': 'La siepe', 'pos': 9}]
G. Isgrò,[{'name': 'Figli di chi', 'pos': 6}, {'name': 'In te', 'pos': 3}]
Danpa,[{'name': 'Famme durmì', 'pos': 6}, {'name': 'Sussurrando buonanotte', 'pos': 8}, {'name': 'Splende il sole', 'pos': 9}]
L. Bechelli,[{'name': 'Più di così', 'pos': 9}, {'name': 'Valeria', 'pos': 8}]
G. Fasano,[{'name': 'Io amo', 'pos': 4}, {'name': 'Mi manchi', 'pos': 5}, {'name': 'Ti lascerò', 'pos': 1}, {'name': 'Vieni a stare qui', 'pos': 2}, {'name': 'Per niente al mondo', 'pos': 7}]
M. Musumeci,[{'name': 'Universo', 'pos': 3}]
R. Fogli,[{'name': 'Storie di tutti i giorni', 'pos': 1}]
F. Serafini,[{'name': 'Fotografia', 'pos': 6}]
R. Scalabrino,[{'name': 'Ragazza del sud', 'pos': 1}]
S. Simoni,[{'name': 'Donnina sola', 'pos': 10}]
M. Adami,[{'name': 'La borsa di una donna', 'pos': 8}]
Mogol,[{'name': 'Al di là', 'pos': 1}, {'name': 'Uno per tutte', 'pos': 1}, {'name': 'Ricorda', 'pos': 5}, {'name': 'Se piangi, se ridi', 'pos': 1}, {'name': 'In un fiore', 'pos': 3}, {'name': "L'immensità", 'pos': 9}, {'name': "Un'avventura", 'pos': 9}, {'name': "Quando l'amore diventa poesia", 'pos': 10}, {'name': 'La prima cosa bella', 'pos': 2}, {'name': 'La spada nel cuore', 'pos': 5}, {'name': 'Sole pioggia e vento', 'pos': 10}, {'name': 'La mia nemica amatissima', 'pos': 8}, {'name': 'Senza un briciolo di testa', 'pos': 3}, {'name': 'Se stiamo insieme', 'pos': 1}, {'name': "Quando l'aria mi sfiora", 'pos': 6}, {'name': 'Essere una donna', 'pos': 3}]
C. A. Bixio,[{'name': 'Lasciami cantare una canzone', 'pos': 3}]
R. Carosone,[{'name': 'Gondolì gondolà', 'pos': 3}]
P. Palma,[{'name': 'Senza te o con te', 'pos': 1}, {'name': 'Senza te o con te', 'pos': 1}]
C. Guidetti,[{'name': 'Senza pietà', 'pos': 1}, {'name': 'Innamorato', 'pos': 3}]
A. Caioli,[{'name': 'Specchi rotti', 'pos': 5}]
E. Ramazzotti,[{'name': 'Terra promessa', 'pos': 1}, {'name': 'Una storia importante', 'pos': 6}, {'name': 'Adesso tu', 'pos': 1}, {'name': 'Come saprei', 'pos': 1}, {'name': 'Innamorato', 'pos': 3}]
L. Battisti,[{'name': "Un'avventura", 'pos': 9}, {'name': 'Un fiume in piena', 'pos': 3}]
Cashin,[{'name': 'A goccia a goccia', 'pos': 7}]
N. de Luca,[{'name': "Chi non lavora non fa l'amore", 'pos': 1}]
C. Valli,[{'name': 'Non è un film', 'pos': 4}]
E. Filiberto ed E. Ghinazzi,[{'name': 'Italia amore mio', 'pos': 2}]
M. Bizzarri,[{'name': 'Ancora in volo', 'pos': 6}]
P. Martella,[{'name': 'Zerotretresette', 'pos': 10}]
W. Colì,[{'name': 'Serenata a nessuno', 'pos': 3}, {'name': "L'ombra", 'pos': 6}]
A. Galbiati,[{'name': 'Scintille', 'pos': 9}]
S. Sylvestre,[{'name': 'Con te', 'pos': 6}]
A. Stellita,[{'name': '...e dirsi ciao', 'pos': 1}, {'name': "C'era un'atmosfera", 'pos': 8}, {'name': 'Souvenir', 'pos': 10}, {'name': 'Piccoli giganti', 'pos': 6}, {'name': 'Dedicato a te', 'pos': 4}]
G. Cichellero,[{'name': 'Un bacio sulla bocca', 'pos': 10}]
T. Iurcich,[{'name': 'Argentovivo', 'pos': 6}]
E. B. Valdes,[{'name': 'La margherita', 'pos': 8}]
M. Colucci,[{'name': 'A goccia a goccia', 'pos': 7}]
G. Faiella,[{'name': 'Un grande amore e niente più', 'pos': 1}, {'name': "E mo' e mo'", 'pos': 9}]
P. Armenise,[{'name': 'È la vita', 'pos': 10}]
D. Di Graci,[{'name': 'Guardia o ladro', 'pos': 4}]
G. Marcucci,[{'name': 'Ancora in volo', 'pos': 6}]
R. Giglio,[{'name': 'Cento cose', 'pos': 9}]
L. Fiori,[{'name': 'Non ci prenderanno mai', 'pos': 8}]
V. Centrone,[{'name': 'Chi sei non lo so', 'pos': 4}]
R. Satti,[{'name': 'Se piangi, se ridi', 'pos': 1}]
O. Prudente,[{'name': 'Jesahel', 'pos': 6}, {'name': 'Margherita non lo sa', 'pos': 3}]
M. Luca,[{'name': 'Senza te o con te', 'pos': 1}, {'name': 'Senza te o con te', 'pos': 1}]
C. Patti,[{'name': 'La forza della mente', 'pos': 6}]
A. Zuccaro,[{'name': 'Promessa', 'pos': 5}]
D. L. Civaschi,[{'name': 'La canzone mononota', 'pos': 2}]
F. Guasti,[{'name': 'Universo', 'pos': 3}]
M. Logan,[{'name': "Walkin'", 'pos': 8}]
S. D'Orazio,[{'name': 'Grande grande amore', 'pos': 1}]
C. Ruggiero,[{'name': 'Ricordi', 'pos': 5}]
P. Daniele,[{'name': 'Un desiderio arriverà', 'pos': 10}]
D. Simonetta,[{'name': 'Il mondo esplode tranne noi', 'pos': 7}, {'name': 'Fatti bella per te', 'pos': 5}, {'name': 'Il mondo prima di te', 'pos': 3}]
N. Fasani,[{'name': 'La terra dei cachi', 'pos': 2}, {'name': 'La canzone mononota', 'pos': 2}]
Davide Bernasconi,[{'name': 'Yanez', 'pos': 4}]
A. Zuppini,[{'name': 'Maggie', 'pos': 2}]
E. Minoretti,[{'name': 'Ci ciu cì (Cantava un usignol)', 'pos': 7}]
O. Angelillo,[{'name': 'Come una guerra', 'pos': 7}]
C. Allia,[{'name': 'Ricordi del cuore (Anime sole)', 'pos': 2}]
G. Novi,[{'name': 'Fotografia', 'pos': 6}]
G. Giancursi,[{'name': "L'unica", 'pos': 6}]
B. Laurenti,[{'name': 'Se adesso te ne vai', 'pos': 6}]
C. Malgioglio,[{'name': 'Ciao cara, come stai?', 'pos': 1}, {'name': 'Chi (Mi darà)', 'pos': 9}]
Charlie Charles,[{'name': 'Soldi', 'pos': 1}]
M. Goldsand,[{'name': 'Più di così', 'pos': 9}]
A. Valleroni,[{'name': 'La cicogna distratta', 'pos': 7}, {'name': 'Donnina sola', 'pos': 10}]
F. Battiato,[{'name': 'Per Elisa', 'pos': 1}]
R. Buti,[{'name': 'Strani amori', 'pos': 3}]
Nathalie Giannitrapani,[{'name': 'Vivo sospesa', 'pos': 7}]
M. Pecora,[{'name': 'Rivoglio la mia vita', 'pos': 7}]
E. Ruggeri,[{'name': 'Sonnambulismo', 'pos': 4}, {'name': 'Quello che le donne non dicono', 'pos': 8}, {'name': 'Mistero', 'pos': 1}, {'name': 'Padre Nostro', 'pos': 6}, {'name': 'La canzone del perdono', 'pos': 4}, {'name': 'Primavera a Sarajevo', 'pos': 5}, {'name': 'Nessuno tocchi Caino', 'pos': 4}, {'name': 'Il primo amore non si scorda mai', 'pos': 4}]
G. Colonnello,[{'name': "Non ho l'età (Per amarti)", 'pos': 1}, {'name': 'Mai mai mai Valentina', 'pos': 7}, {'name': 'Da troppo tempo', 'pos': 3}]
Cheope,[{'name': 'Come una guerra', 'pos': 7}, {'name': 'Strani amori', 'pos': 3}, {'name': 'Di notte specialmente', 'pos': 10}, {'name': 'Cuore senza cuore', 'pos': 7}, {'name': 'Nessun grado di separazione', 'pos': 2}, {'name': 'Il diario degli errori', 'pos': 4}, {'name': 'Eterno', 'pos': 10}]
G. D'Amora,[{'name': 'Noi non ci capiamo', 'pos': 10}]
P. Frassi,[{'name': 'Come in ogni ora', 'pos': 3}]
A. Mari,[{'name': 'Sedici anni', 'pos': 9}]
E. Marcelli,[{'name': 'Meno male', 'pos': 7}]
U. Napolitano,[{'name': 'Bimba mia', 'pos': 9}]
Francesco Sarcina,[{'name': 'Nel tuo sorriso', 'pos': 10}]
F. Gabbani,[{'name': 'Amen', 'pos': 1}, {'name': "Occidentali's Karma", 'pos': 1}]
Roberto Colombo,[{'name': 'Amore lontanissimo', 'pos': 2}]
G. D'Alessio,[{'name': 'Bastardo', 'pos': 9}]
M. Conti,[{'name': 'Ho bisogno di te', 'pos': 5}]
P. Mendes,[{'name': 'Un cuore', 'pos': 5}]
D. De Vitis,[{'name': 'Non finirà', 'pos': 10}]
F. Salvi,[{'name': 'Esatto!', 'pos': 7}]
Telonio,[{'name': 'Fuori', 'pos': 4}]
V. Venturi,[{'name': 'Il mondo è qui', 'pos': 8}]
L. Schiavone,[{'name': 'Sonnambulismo', 'pos': 4}, {'name': 'Quello che le donne non dicono', 'pos': 8}]
M. Di Paolo,[{'name': 'Aria, sole, terra e mare', 'pos': 3}]
P. Marino,[{'name': 'È la mia vita', 'pos': 7}, {'name': "Che mistero è l'amore", 'pos': 4}]
C. Lo Mele,[{'name': "L'unica", 'pos': 6}]
E. Marrone,[{'name': 'Tutta colpa mia', 'pos': 8}]
V. Mascheroni,[{'name': "La luna si veste d'argento", 'pos': 2}, {'name': 'Papaveri e papere', 'pos': 2}, {'name': 'Amami se vuoi', 'pos': 2}, {'name': 'Casetta in Canadà', 'pos': 4}, {'name': "Giuro d'amarti così", 'pos': 5}, {'name': 'Nessuno', 'pos': 8}, {'name': 'Una marcia in Fa', 'pos': 9}, {'name': 'Febbre di musica', 'pos': 7}]
V. Spampinato,[{'name': 'Sulla buona strada', 'pos': 4}]
G. Rampazzo,[{'name': "Canzone d'amore", 'pos': 7}]
S. M. Sorrentino,[{'name': 'Non riesco a farti innamorare', 'pos': 3}]
V. B. Scanu,[{'name': 'Il mondo dove va', 'pos': 9}]
P. Barabani,[{'name': 'Su di noi', 'pos': 3}, {'name': 'Hop hop somarello', 'pos': 6}]
I. Grandi,[{'name': 'Fuori', 'pos': 4}, {'name': 'La cometa di Halley', 'pos': 8}]
Nek,[{'name': 'Fatti avanti amore', 'pos': 2}]
V. Chiaravalle,[{'name': "C'è che ti amo", 'pos': 4}]
F. Maresca,[{'name': "Sull'acqua", 'pos': 8}]
A. De Curtis,[{'name': 'Con te', 'pos': 9}]
A. Fornaciari,[{'name': 'Volevo dirti', 'pos': 2}, {'name': 'Complimenti', 'pos': 7}, {'name': 'Non voglio mica la luna', 'pos': 5}, {'name': 'Il mondo piange', 'pos': 6}]
E. Palmosi,[{'name': 'Arriverà', 'pos': 2}, {'name': "Non è l'inferno", 'pos': 1}]
C. De Bei,[{'name': 'Emily', 'pos': 8}, {'name': 'Chissà se nevica', 'pos': 5}]
F. Evangelisti,[{'name': 'Non finisce così', 'pos': 4}, {'name': 'Sottovoce', 'pos': 7}]
F. Cavalli,[{'name': 'La solitudine', 'pos': 1}]
A. Papetti,[{'name': 'Nel regno dei sogni', 'pos': 10}]
D. Ciaramella,[{'name': 'Sentimento', 'pos': 1}]
Paolo Carta,[{'name': 'La forza mia', 'pos': 1}]
L. Valori,[{'name': 'Aria, sole, terra e mare', 'pos': 3}]
R. Di Benedetto,[{'name': 'Infinite volte', 'pos': 5}, {'name': 'Ora mai', 'pos': 1}]
P. Turci,[{'name': 'Stato di calma apparente', 'pos': 7}, {'name': 'Volo così', 'pos': 10}, {'name': 'Solo come me', 'pos': 4}, {'name': "Saluto l'inverno", 'pos': 5}, {'name': 'Fatti bella per te', 'pos': 5}]
A. Bella,[{'name': 'Non è colpa di nessuno', 'pos': 7}]
M. Romagnoli,[{'name': 'Una vita in vacanza', 'pos': 2}]
M. Marini,[{'name': 'Avevamo la stessa età', 'pos': 7}]
L. Piscopo,[{'name': 'Il congiuntivo', 'pos': 4}]
D. Mancino,[{'name': 'La tua bellezza', 'pos': 8}, {'name': 'Il cielo è vuoto', 'pos': 7}]
C. Gori,[{'name': 'Fantastica', 'pos': 10}]
C. Ailin,[{'name': 'Bagnati dal sole', 'pos': 5}]
F. Sacco,[{'name': 'Canta con noi', 'pos': 1}]
Tosca,[{'name': 'Il terzo fuochista', 'pos': 7}]
N. La Mantia,[{'name': 'E poi e poi', 'pos': 5}]
E. Mou,[{'name': 'Nella vasca da bagno del tempo', 'pos': 3}]
P. Pintucci,[{'name': "I giorni dell'arcobaleno", 'pos': 1}]
A. Testa,[{'name': 'Il cantico del cielo', 'pos': 4}, {'name': 'Un bacio sulla bocca', 'pos': 10}, {'name': 'Quando vien la sera', 'pos': 3}, {'name': 'È mezzanotte', 'pos': 5}, {'name': 'Quando quando quando', 'pos': 4}, {'name': 'Uno per tutte', 'pos': 1}, {'name': 'Giovane giovane', 'pos': 3}, {'name': 'Io ti darò di più', 'pos': 6}, {'name': 'Mai mai mai Valentina', 'pos': 7}, {'name': 'Non pensare a me', 'pos': 1}, {'name': 'Quando dico che ti amo', 'pos': 2}]
G. Giorgilli,[{'name': 'Sei la vita mia', 'pos': 2}]
F. Ciani,[{'name': 'È tutto un attimo', 'pos': 5}, {'name': 'Quando nasce un amore', 'pos': 7}, {'name': 'Ti lascerò', 'pos': 1}]
Malise,[{'name': 'Il mare calmo della sera', 'pos': 1}]
S. Costantini,[{'name': 'Guasto', 'pos': 4}]
P. Miano,[{'name': 'Il mago', 'pos': 3}]
S. Picchi,[{'name': 'Generale Kamikaze', 'pos': 7}]
F. Camba,[{'name': 'Che giorno è', 'pos': 6}]
C. Cecchetto,[{'name': 'Vasco', 'pos': 5}]
G. P. Reverberi,[{'name': 'Hop hop somarello', 'pos': 6}]
L. Marielli,[{'name': 'Spunta la Luna dal monte', 'pos': 5}, {'name': 'Pitzinnos in sa gherra', 'pos': 8}]
L. Citi,[{'name': 'Libro di novelle', 'pos': 9}]
L. Gelmini,[{'name': 'Le trote blu', 'pos': 10}]
F. S. Mangieri,[{'name': 'Notturno (Per chi non ha nessuno)', 'pos': 4}]
P. P. Preti,[{'name': 'Mi son chiesta tante volte', 'pos': 10}]
G. Sangiorgi,[{'name': 'Come foglie', 'pos': 2}, {'name': 'Via da qui', 'pos': 3}]
R. Pazzaglia,[{'name': "Amare un'altra", 'pos': 3}, {'name': 'Come stai?', 'pos': 6}]
P. Soffici,[{'name': "Quando l'amore diventa poesia", 'pos': 10}]
E. Ghinazzi,[{'name': 'Su di noi', 'pos': 3}, {'name': 'Sarà perché ti amo', 'pos': 5}, {'name': 'Hop hop somarello', 'pos': 6}]
G. Bigazzi,[{'name': 'Eternità', 'pos': 4}, {'name': 'Non voglio innamorarmi mai', 'pos': 5}, {'name': 'Montagne verdi', 'pos': 7}, {'name': 'Cuore di vetro', 'pos': 10}, {'name': 'Pensa per te', 'pos': 9}, {'name': 'Un amore grande', 'pos': 4}, {'name': 'Si può dare di più', 'pos': 1}, {'name': 'Disperato', 'pos': 1}, {'name': 'Perché lo fai', 'pos': 3}, {'name': 'Gli altri siamo noi', 'pos': 4}, {'name': 'Gli uomini non cambiano', 'pos': 2}, {'name': 'Perché', 'pos': 9}, {'name': 'Non amarmi', 'pos': 1}, {'name': 'Un anno di noi', 'pos': 10}, {'name': 'Passerà', 'pos': 1}, {'name': 'Soli al bar', 'pos': 8}, {'name': 'Accidenti a te', 'pos': 9}, {'name': 'Che ne sai di me', 'pos': 8}]
G. P. Felisatti,[{'name': 'Ma chi te lo fa fare', 'pos': 7}, {'name': 'Il mare calmo della sera', 'pos': 1}]
R. Bolognesi,[{'name': 'Canta con noi', 'pos': 1}]
D. Olivieri,[{'name': 'Non è mai troppo tardi', 'pos': 5}]
F. Tanini,[{'name': 'Strani amori', 'pos': 3}]
M. Vicari,[{'name': 'Un uomo piange solo per amore', 'pos': 10}, {'name': 'Tu sei bella come sei', 'pos': 7}]
R. Casini,[{'name': 'Volo così', 'pos': 10}, {'name': 'Solo come me', 'pos': 4}]
C. Carrara,[{'name': 'Canzone fra le guerre', 'pos': 10}]
M. Buzzanca,[{'name': 'Mi sento bene', 'pos': 8}]
Giuseppe Anastasi,[{'name': 'La notte', 'pos': 2}, {'name': 'Controvento', 'pos': 1}]
D. Calvetti,[{'name': 'Vivere normale', 'pos': 8}, {'name': 'Per tutta la vita', 'pos': 4}]
T. Savio,[{'name': 'Cuore matto', 'pos': 10}, {'name': 'Cuore di vetro', 'pos': 10}]
A. De Sanctis,[{'name': 'Due anelli', 'pos': 5}, {'name': "Tu mi rubi l'anima", 'pos': 2}, {'name': 'La gente parla', 'pos': 4}, {'name': 'Figli di chi', 'pos': 6}, {'name': 'In te', 'pos': 3}, {'name': "Laura non c'è", 'pos': 7}, {'name': 'Un piccolo amore', 'pos': 2}]
G. Westley,[{'name': 'Senza un briciolo di testa', 'pos': 3}]
D. Marchetti,[{'name': 'Doppiamente fragili', 'pos': 1}]
C. Facchinetti,[{'name': 'Uomini soli', 'pos': 1}]
A. Valsiglio,[{'name': 'Oramai', 'pos': 6}, {'name': 'La solitudine', 'pos': 1}, {'name': 'Strani amori', 'pos': 3}, {'name': 'Gente come noi', 'pos': 3}, {'name': 'Sentimento', 'pos': 7}, {'name': 'Storie', 'pos': 2}]
P. Cremonesi,[{'name': 'La solitudine', 'pos': 1}]
T. Maiello,[{'name': 'Il linguaggio della resa', 'pos': 1}]
R. Colombo,[{'name': 'Non ti dimentico (Se non ci fossero le nuvole)', 'pos': 2}]
S. Moschetto,[{'name': 'Maggie', 'pos': 2}]
F. Caprara,[{'name': 'Il nostro tempo', 'pos': 2}]
G. Amendola,[{'name': 'Come le viole', 'pos': 2}, {'name': 'Come un ragazzino', 'pos': 2}]
P. Romitelli,[{'name': 'Il mondo esplode tranne noi', 'pos': 7}, {'name': 'Musica che resta', 'pos': 3}, {'name': 'Cosa ti aspetti da me', 'pos': 4}]
R. Maffoni,[{'name': 'Sole negli occhi', 'pos': 4}]
A. Lo Vecchio,[{'name': 'Sera', 'pos': 8}, {'name': 'Armonia e poesia', 'pos': 6}]
R. Tini,[{'name': "L'amore", 'pos': 1}]
M. Fiorilla,[{'name': 'Le margherite', 'pos': 9}]
R. Gualazzi,[{'name': "Follia d'amore", 'pos': 1}, {'name': 'Liberi o no', 'pos': 2}]
Zacar,[{'name': '1/2 notte', 'pos': 9}]
M. Monti,[{'name': 'Per una bambola', 'pos': 10}]
