Writer,Songs
J. M. Maiello Ferry,[{'name': 'Vicina e lontana', 'pos': 10}]
V. Catanzaro,[{'name': 'Wake Up', 'pos': 9}]
F. Zampaglione,[{'name': 'Strade', 'pos': 2}, {'name': 'Cieli immensi', 'pos': 6}]
L. Beretta,[{'name': 'La colpa fu', 'pos': 5}, {'name': 'Lì per lì', 'pos': 5}, {'name': 'Nessuno mi può giudicare', 'pos': 2}, {'name': "Un'ora fa", 'pos': 4}, {'name': "Chi non lavora non fa l'amore", 'pos': 1}, {'name': 'Sotto le lenzuola', 'pos': 5}, {'name': 'Questa è la mia vita', 'pos': 2}]
P. Calvi,[{'name': 'Non sapevo', 'pos': 10}]
E. Fratini,[{'name': 'Sarò bellissima', 'pos': 2}]
R. Costa,[{'name': 'Quasi amore', 'pos': 6}]
M. Paulicelli,[{'name': 'Tu fai schifo sempre', 'pos': 10}]
Comas,[{'name': 'Non è colpa di nessuno', 'pos': 7}]
P. Pallottino,[{'name': '4 marzo 1943', 'pos': 3}]
Giuseppe Povia,[{'name': 'Luca era gay', 'pos': 2}]
F. Berlincioni,[{'name': 'Non lo faccio più', 'pos': 1}, {'name': 'Mi manchi', 'pos': 5}, {'name': 'Ti lascerò', 'pos': 1}, {'name': 'Gli amori', 'pos': 2}, {'name': 'Vieni a stare qui', 'pos': 2}, {'name': 'Ti penso', 'pos': 5}, {'name': 'Per niente al mondo', 'pos': 7}, {'name': 'Ora che ho bisogno di te', 'pos': 4}, {'name': 'Amanda è libera', 'pos': 3}]
L. Sala,[{'name': "Non è l'inferno", 'pos': 1}]
D. Backy,[{'name': "L'immensità", 'pos': 9}]
F. Palmieri,[{'name': 'Soli al bar', 'pos': 8}]
A. Mango,[{'name': 'Re', 'pos': 9}, {'name': 'Luce', 'pos': 6}]
M. De Peppe,[{'name': 'Amica di scuola', 'pos': 5}]
A. Fresa,[{'name': 'Imparare ad amarsi', 'pos': 5}]
C. Cofani,[{'name': 'Non finisce così', 'pos': 4}]
